31367717,"Mühlehorn, Stutz","POINT(1022224.8983552 5960919.17403092)",NULL,"pt"
31430025,"Pratteln Grüssen","POINT(855768.71905668 6028519.63116711)","Pratteln, Grüssen","pt"
31445304,"Läuferplatz","POINT(830193.333213703 5933795.58328925)","Bern, Läuferplatz","pt"
31460768,"Technologiepark","POINT(822692.536868459 5931564.58907247)","Bern, Technologiepark","pt"
31491481,"Kappelisacker","POINT(832463.360269959 5939321.75848817)","Ittigen, Kappelisacker","pt"
31665861,"Saas-Fee, Busterminal","POINT(882740.540364403 5797789.22340715)",NULL,"po"
31667175,"Mittelallalin","POINT(879998.979440404 5789619.93406529)",NULL,"po"
31791763,"Augst BL","POINT(858607.443995552 6029763.29727455)","Augst BL","pt"
31793813,"Kaisten Gemeindehaus","POINT(895599.934925472 6030641.35581844)","Kaisten, Gemeindehaus","pt"
32452606,"Kappelenring Ost","POINT(821373.200527476 5936494.78723418)","Kappelenring, Ost","pt"
32460254,"Enderholz","POINT(958550.171885345 5979117.12400016)","Horgen, Enderholz","pt"
32701915,"Heuweg","POINT(900319.191154264 6005844.40165571)","Buchs AG, Heuweg","pt"
32701928,"Alterszentrum","POINT(899873.278669993 6006190.42912013)","Buchs AG, Alterszentrum","pt"
32701933,"Trieschweg","POINT(899537.594745506 6006175.20256873)","Buchs AG, Trieschweg","pt"
32701954,"Brauerei","POINT(898373.259663503 6005967.7558036)","Buchs AG, Brauerei","pt"
32702009,"Herzogplatz","POINT(896727.256276786 6005547.50058365)","Aarau, Herzogplatz","pt"
32707631,"Habsburg Dorfplatz","POINT(911286.977380518 6017815.48634651)","Habsburg, Dorfplatz","pt"
32846623,"Gamsalp (Gamserugg)","POINT(1039369.83652142 5970454.89478394)",NULL,"pt"
33186609,"Klausen Passhöhe","POINT(985704.980927595 5920564.56934219)",NULL,"pt"
33210808,"Wangen Dorfplatz","POINT(962443.637867534 6009344.20091236)","Wangen b D'dorf, Dorfplatz","pt"
33229364,"Schwändi, Lassigen","POINT(1009691.01387272 5944244.73511046)",NULL,"pt"
33229463,"Schwanden, Thon","POINT(1009197.23400741 5941489.84284272)",NULL,"pt"
33232601,"Linthal","POINT(1001620.59569309 5929939.06438265)","Linthal","pt"
33232602,"Nidfurn-Haslen","POINT(1008438.29111503 5939752.0914544)","Nidfurn-Haslen","pt"
33307187,"Versoix","POINT(686354.458061259 5825290.02668843)",NULL,"pt"
33307346,"Lausanne","POINT(737865.058869253 5863497.99019931)","Lausanne","pt"
33308021,"Genthod-Bellevue","POINT(685049.392878995 5821593.96052497)",NULL,"pt"
33484614,"Ochsen","POINT(864517.540477104 6032572.35619776)","Rheinfelden (D), Warmb. Ochsen","pt"
33484620,"DLRG-Wache","POINT(865440.123020952 6032928.85565514)","Rheinfelden (D), DLRG-Wache","pt"
33485685,"Arth-Goldau","POINT(951709.544648302 5950070.4153036)","Arth-Goldau","pt"
33485825,"Samstagern","POINT(966935.724411465 5973372.65569393)",NULL,"pt"
33486844,"Wollerau","POINT(971257.581190073 5974044.03731861)","Wollerau","pt"
33633257,"Wangen SZ, alte Post","POINT(990406.782260231 5973025.5424195)",NULL,"pt"
33767619,"Lörrach Dammstraße","POINT(852193.560026465 6040192.9590123)","Lörrach-Dammstraße (D)","pt"
33832979,"Post 1","POINT(1060635.2767713 5917986.73233999)","Chur, Post I","pt"
33980285,"Langnau a.A. Dorf","POINT(950799.240644289 5989309.29934551)","Langnau am Albis, Dorf","pt"
33980322,"Gattikerhöhe","POINT(952352.503763226 5988752.51119562)","Gattikon, Gattikerhöhe","pt"
33980329,"Ebnet","POINT(952575.510099132 5989210.4048075)","Thalwil, Ebnet","pt"
34076853,"Liestal Elektra","POINT(860942.837856802 6022044.70137186)","Liestal, Elektra","pt"
34077277,"Lachen SZ, Kapelle","POINT(986064.309111927 5973846.51471499)",NULL,"pt"
34091393,"Auf Dorf","POINT(968852.924341652 5984104.21178101)","Männedorf, Auf Dorf","pt"
34095674,"Beugen","POINT(962982.22382789 5985815.3916541)","Meilen, Beugen","pt"
34097651,"Boldernstrasse","POINT(968477.03181709 5984349.17261399)","Männedorf, Boldernstrasse","pt"
34148038,"Küsnacht ZH","POINT(955212.256953909 5994323.19945434)",NULL,"pt"
34181016,"Morgental","POINT(949518.866125083 5998419.48598447)","Zürich, Morgental","pt"
34184690,"Kirchweg","POINT(968244.663512008 5983474.26690434)","Männedorf, Kirchweg","pt"
34490075,"Winterthur","POINT(971111.997560014 6024137.58421697)",NULL,"pt"
34674546,"Glarus, Stampf","POINT(1009526.8398877 5948855.82135652)",NULL,"pt"
34686442,"Lausen","POINT(863830.164885354 6019174.75091684)","Lausen","pt"
34778028,"Erlenbach ZH","POINT(956415.999135653 5992133.76706847)",NULL,"pt"
34778456,"Küsnacht Goldbach","POINT(954644.393967474 5995596.61762058)",NULL,"pt"
34977372,"Sion, poste/gare","POINT(819131.057391241 5816915.36007625)","Sion, poste/gare","po"
35120230,"Wingert","POINT(969868.347340821 6009347.14534842)","Illnau, Wingert","pt"
35120823,"Altendorf SZ","POINT(982161.659271747 5973803.34768707)","Altendorf","pt"
35207410,"Spital West","POINT(1001091.76132012 5978646.84588491)","Uznach, Spital West","pt"
35466058,"Schmerikon","POINT(995592.745454173 5978878.06414356)","Schmerikon","pt"
35466106,"Blumenau","POINT(984229.173910352 5978678.85808419)","Blumenau","pt"
